name,entity
Palazzo Manfredi,CgsI9J6R5dO-zb_6ARAB
Fendi Private Suites,CgoIqd7zvofvvowGEAE
The St. Regis Rome,CgoIq56rwr_Pl_4PEAE
Hotel Splendide Royal,CgoInbaO0urv7fs3EAE
Palazzo Montemartini Rome,CgoIo8WB99al-fIwEAE
DOM Hotel,CgoI47_j18zngJpqEAE
Hotel NH Collection Roma Palazzo Cinquecento,CgsIldW3rcn7tLDkARAB
The First Musica,CgoI2I7bh7OQq9QJEAE
Eccelso Hotel,CgoIyZ7-suGX1KYREAE
Gasometer Urban Suites,CgsI6vuxwLeQtceGARAB
Bed and Breakfast King Plaza,CgsI69HE76WQpNKCARAB
Grand Hotel Plaza,CgoI6v-_0qXm0ckzEAE
Hotel Lord Byron,CgsIueC26bPs7bSoARAB
Corso 281,CgsIube-8Lq39fujARAB
Boutique Centrale Palace Hotel,CgsIkPu4puv2kdjeARAB
Hotel Hassler Roma,CgsI5cbRtOSptqqKARAB
The Westin Excelsior,CgoIt8jM-8aUqPt5EAE
Anantara Palazzo Naiadi Rome Hotel,CgoInLu936zer6lsEAE
Baglioni Hotel Regina - Rome,CgsI-dv9uuixirDmARAB
Hotel Locarno,CgoIsfiF7P-C2vcUEAE
Sofitel Roma Villa Borghese,CgsIxKLj4vn_9bDTARAB
The Pantheon Iconic Rome Hotel,CgoIh_OBit_qreYREAE
Hotel Indigo Rome - St. George,CgoIuKH3_Yneud8vEAE
Villa Agrippina Gran Meliá,CgsIjpvgidSKsp3oARAB
Hotel d'Inghilterra Roma - Starhotels Collezione,CgsIhp6Rzd7p6qagARAB
Hotel de Russie,CgsI3tK41OfV-8LqARAB
Hotel de la Ville,CgsIwuWG__7WyMPHARAB
J.K. Place Roma,CgsI4bG57Zr79JTJARAB
Hotel Vilòn,CgsItqC4qZTc-ILpARAB
Hotel Eden,CgsIm-e-sLTNq9yqARAB
Singer Palace Hotel,CgsI_cOLtoic5cDBARAB
Palazzo Dama,CgsI3-aO_Y7O2I2tARAB
The First Roma Arte,CgoIiu3lrMysn7UZEAE
Sina Bernini Bristol,CgsI-_bshIPatrj5ARAB
NervaAccomodation Cavour,CgsI3pfpr53V2e2OARAB
Portrait Roma,CgoIoqLK-fOZ1YsrEAE
Il Palazzetto,CgsI7rLi8IvCmerWARAB
Harry's Bar & Restaurant Rome - Trevi Fountain,CgsI4M37it--0c-qARAB
The H'All Tailor Suite,CgsIiqHr0bueyIrZARAB
The First Roma Dolce,CgsI3ITDw4mQtvGTARAB
Eitch Borromini,CgoI4vntoY7ZmqNHEAE
Hotel NH Collection Roma Fori Imperiali,CgsI2Ny-h5ni6_eaARAB
Hotel La Griffe Roma,CgoIsuqy4KyMio1sEAE
Elizabeth Unique Hotel,CgoIrrDnt9X98uVgEAE
Villa Spalletti Trivelli Dimora d'Epoca,CgsIt4flydbVvp3fARAB
Roma Hotel Luxus,CgoIr8DUmpHAjJ00EAE
St.Anthony Guest House,CgsI-cyNxc_c7-a3ARAB
Guest House Next Stop St Peter Rome,CgoIiK7zzp3-9PBiEAE
Umiltà 36,CgsIt8OJpN2dzoHUARAB
Lifestyle Suites Rome,CgoIl57ooqWclO4REAE
Rhona Rooms,CgoIya3x4fqMlPRFEAE
Pantheon Caesar Relais,CgoI7Zeb0f-l19d6EAE
B&B Armonie Romane,CgoIs4CA7ffKiI0sEAE
Escape Luxury Suite,CgoIhpX10LC54JUiEAE
Suite Fontana di Trevi,CgsIhsKBrtH4oq72ARAB
Bio Hotel Raphaël – Relais & Châteaux,CgoItpnF8JrrlphqEAE
Pantheon Relais,CgoIjq-toOXq1PMZEAE
Aleph Rome Hotel,CgsI_cSlpfi3spe1ARAB
Rome Cavalieri,CgsI5un0n6P-25LkARAB
Parco dei Principi Grand Hotel & SPA,CgoI7cyc_8Seh-wLEAE
Grand Hotel Palace,CgoIlN67s6Tg65khEAE
The Inn at the Roman Forum,CgoIu6L6htj4nZIKEAE
Margutta 19 Luxury Hotel,CgsIwca60bvWm9-WARAB
