name,entity
Hotel Exe Cristal Palace,CgoI2qmWjqmOl41aEAE
Pol & Grace Hotel,CgsIlfeR45ngz6HSARAB
Hotel NH Sants Barcelona,CgoIkMieyLzh97MOEAE
Hotel Colón,CgoIqpau_ZvOz-wYEAE
Alexandra Barcelona Hotel,CgsIsqKP75_f3P3nARAB
Hotel Barcelona Catedral,CgsI9NC45fnL_pv1ARAB
Villa Emilia,CgsI1NDevszzg9y5ARAB
AC Hotel by Marriott Som,CgsIgOTn5rTZmfikARAB
Sallès Hotel Pere IV,CgsI-qiIrNTo5LrtARAB
Suites Avenue Barcelona,CgoImd_97cjT1aE3EAE
The Mirror Barcelona,CgoI5pCM9-q4oIITEAE
Sunotel Club Central,CgoIh6aq5Ym_tvtBEAE
Eurohotel Gran Via Fira,CgsIz9rq98-b3c6jARAB
Hotel Pulitzer,CgoI96XRoZqI_qgPEAE
Hotel Vincci Mae,CgoI8P_y8_Ge488lEAE
Hotel Silken Ramblas,CgsI0obco5Cm5PjZARAB
Hotel Catalonia Catedral,CgoIxODevMex3pJJEAE
Hotel Amèrica Barcelona,CgoIq_jIsZ-p9NEXEAE
HG City Suites Barcelona,CgoIz7jM2uLbjZ0MEAE
H10 Art Gallery,CgoIm7mLtuCHzfBYEAE
Hotel Alimara Barcelona,CgoI7vGry9rsqcc4EAE
Hesperia Barcelona Del Mar,CgsIydjC4bXiovH5ARAB
ILUNION Barcelona,CgoIjOyc57KpjbkmEAE
The Corner Hotel,CgkIsOvi9sHV9WkQAQ
Hotel Concordia Barcelona,CgoIyvStzY33pYBkEAE
H10 Marina Barcelona,CgoInJbXgp-Owdc1EAE
Pestana Arena Barcelona,CgoI7rDfjMGl7tgjEAE
Hotel MidMost Barcelona,CgoIzuHckvfQ2NsQEAE
Sercotel Ámister Art Hotel,CgsI04PM3eaU58iqARAB
Hotel Catalonia Port,CgsIk-6H1cb3luraARAB
Hotel Hesperia Barcelona Presidente,CgoIvImK45Pe164MEAE
Hotel Medinaceli,CgsI0ZuI8IaE4b-uARAB
Hotel Madanis,CgoIhfaF_O3br-N5EAE
Hotel Barcelona Condal Mar Affiliated by Meliá,CgsIxMbn-7610LvNARAB
Leonardo Royal Hotel Barcelona Fira,CgsI-_Dyw97HlMjKARAB
Hotel ILUNION Bel Art (Eixample,CgoIz_3O3of7mM90EAE
NH Collection Barcelona Podium,CgoI3NLHi7Cy4_5ZEAE
Hotel Porta Fira,CgoI4eiXkMfMruU0EAE
Barceló Raval,CgsInafHk9TpnfSQARAB
Hotel Catalonia Gran Via BCN,CgsI3fmD2ePBrd_XARAB
Hotel Catalonia Square,CgsIyPyekfr3jIDKARAB
Olivia Balmes Hotel,CgoIr8Kz0NikyNoYEAE
Hotel Guitart Grand Passage,CgoIjey1pfLx8spLEAE
Hotel Catalonia,CgoI1obF_77uu9EkEAE
Hotel Eurostars Monumental,CgsI9rOv8b3hy9W5ARAB
AC Hotel by Marriott Sants,CgsI69ftp6mDqo_FARAB
República Barcelona Apartment,CgoIn-7ugJnT7qsjEAE
ZT The Golden Hotel Barcelona,CgoIicTtu_uY-IFKEAE
Hotel Upper Diagonal,CgsIqpaMq4HBvveQARAB
K+K Hotel Picasso El Born,CgoIg9yyqvudo7VPEAE
AC Hotel by Marriott Diagonal L´Illa,CgsI4JeNrYG2g4LuARAB
Petit Palace Museum,CgsIz___7ufRj5X1ARAB
Euro Hotel Barcelona - Diagonal Port,CgsI0MWW-LTy9qq1ARAB
Hotel Catalonia Passeig de Gràcia,CgsI7rfx0IqM-P-5ARAB
Gran Hotel Barcino,CgoI8ozuoKCLx4ZeEAE
Hotel Catalonia Ramblas,CgsI7uy73pLWn7DDARAB
Sercotel Rosellón,CgoIh56Gu9u__ulmEAE
Hotel Casa Elliot,CgoI4qT4iu-J-bsDEAE
Axel Hotel Barcelona,CgsI2uKy9oyQqtCEARAB
Duquesa Suites Barcelona,CgoItoGe3bvqwJkFEAE
Occidental Diagonal 414,CgsImLGkzK6SpbWYARAB
Hotel Abbot,CgsIjL2E5srXnMXBARAB
Hotel Acevi Villarroel,CgsI3LCTq6jTxcmKARAB
Acta Atrium Palace,CgoI1pTzjazzjbxqEAE
Hotel Catalonia Diagonal Centre,CgsIiK7_3e2SorXAARAB
Hotel Cram Barcelona,CgoI4rWT1dHn2qMtEAE
Hotel Vilamarí,CgoI-9f4sajO2d5gEAE
Hotel NH Barcelona Stadium,CgsI0dLHo8ukt-maARAB
Hotel SERHS Rivoli Rambla,CgoIztzO9c-Pnt8VEAE
Hotel Hesperia Barcelona Sant Just,CgoIsu2NxP7m3NooEAE
Hotel Best 4 Barcelona,CgsItK-k3ICH-YK1ARAB
Hotel Balmes,CgsI47Tr8Yqr1_iCARAB
Vilana Hotel,CgoI6vjzo4WwgpoVEAE
Occidental Atenea Mar,CgoIzoCqo_qyifwbEAE
Hotel Ronda Lesseps,CgoIuOqyxLzBs_pGEAE
H10 Urquinaona Plaza,CgsIstblz8j3lP3lARAB
Derby Hotel 4,CgsIrq7Do7GRpZrmARAB
Hotel Catalonia Magdalenes,CgsI3fjq89znqty3ARAB
Exe Plaza Catalunya,CgoI86ehjNi0zpdvEAE
Hotel Catalonia Born,CgsIk-f6irmmws77ARAB
Olívia Plaza Hotel,CgsIuLzTmJLYwem6ARAB
Novotel Barcelona City,CgoIgrPszeXejal1EAE
Sunotel Central,CgsI7aWN-7SnkNLXARAB
AC Hotel by Marriott Irla,CgsIk5-voq3f1e_yARAB
Hotel Barceló Sants,CgsIoN_8rZKmwtWfARAB
Exe Laietana Palace,CgoIzLyU7s3u2sw6EAE
abba Garden hotel,CgoI06rXxrSZmMQkEAE
H10 Cubik,CgoI1tD3kpfCs9dyEAE
Casagrand Luxury Suites,CgoIi-i6jYO2sbMKEAE
Sonder Le Palacete,CgoIo4n6763BstUMEAE
H10 Port Vell,CgoIjayklaXUgth3EAE
Ikonik Lex,CgoI-avC5Lbzo81aEAE
Gallery Hotel,CgoIlLC_4rTpxd4CEAE
Capri by Fraser Barcelona,CgoIls3E04i28-1qEAE
Royal Ramblas Hotel,CgoIkLeizenMoYIXEAE
Hotel Vincci Bit,CgsIu_rz5LOv06-TARAB
Ikonik Ramblas,CgoIgZXOnNOAraFdEAE
Alexandre Hotel Fira Congress,CgsIzYjPkf2UievUARAB
Hotel Barcelona Apolo Affiliated by Meliá,CgsIsYDSpe-f_OmSARAB
ICON BCN,CgsIqsvk__C5y53IARAB
Arenas Atiram Hotel Barcelona,CgsIxMaGwIjt1PjKARAB
H10 Ítaca,CgoIzI7i_aCL8uJ1EAE
Midtown Apartments Barcelona,CgoI67uv84b3ksVTEAE
Be Mate Passeig de Gràcia - Apartments,CgsIu-qPqb6Sq7S2ARAB
Milà Barcelona Apartments,CgsIpdm0lpPWma_lARAB
Hotel Ambit Barcelona,CgoI0aGD4-eGwrtvEAE
Hotel Well and Come,CgsIrZSyldyT46GHARAB
Attica 21 Barcelona Mar,CgoIztKer7esveFkEAE
Passeig de Gràcia Bas Apartments Barcelona,CgsIj-Xqgqq-k_2QARAB
Room Mate Gerard Hotel,CgsI-cDpy87J74GzARAB
ANBA Boutique,CgoIjI7305n4hp4qEAE
Gran de Gràcia Barcelona Apartment,CgoI75fIz4aRu5JZEAE
Acacia Premium Suite Barcelona,CgoIjuWi6OzoxOdjEAE
Sercotel Caspe,CgsI6veNj6bb3feeARAB
Aparthotel Atenea,CgoIk_OSkK729f0ZEAE
Grupotel Gran Via 678,CgsIsvWelpe-2IiyARAB
Hotel Brummell,CgsIidWSg-3_kNWEARAB
Suites Center Barcelona,CgoInoK3geGFmI8nEAE
Sansi Pedralbes,CgsI57T49LHpne7dARAB
Arai Aparthotel Barcelona,CgsIvoLQgY6e5f3EARAB
Aspasios Rambla Catalunya Suites,CgoI3I6QxeyHicFQEAE
Aramunt Barcelona Apartment,CgoImN2Z1s6Q7eQvEAE
Hotel Garbí Mil·lenni,CgsI5sn7veKl0feCARAB
Stay Together Barcelona Apartments,CgoI9pmaoavY1_41EAE
Granados 83,CgsIgtOphfTt2r7MARAB
TWO Hotel Barcelona by Axel,CgsIovaqvuPws_u8ARAB
Hotel HCC St. Moritz,CgsI16DT_YLis6isARAB
Paxton Barcelona,CgsIneioiaLe8uKtARAB
Room Mate Anna Hotel,CgoI_fPEg9GKutkdEAE
Apartaments Hispans 7 Suïssa,CgsIoevft6Cc296UARAB
Hesperia World S.L.,CgsIta3tlpngoL3HARAB
Ona Living Barcelona,CgoI8dTpqMaIvKIkEAE
Ola Living Diagonal Apartments,CgoI8_nEhYOTj9RREAE
Mercer House Boria Bcn,CgsI-prB8fi4nuarARAB
Hotel HCC Regente,CgoIrKWakcOjrrhaEAE
Hotel Gran Derby Suite,CgoI4s_q3PTnioYSEAE
Val Barcelona Apartment,CgsIgcGzjdaZnsGKARAB
numa | Lumino Apartments,CgoI7r2as7DjyugWEAE
Eric Vökel Sagrada Família Suites,CgoIzsSvoPTYoOR8EAE
Eric Vökel BCN Suites,CgoImrPas9y4xswJEAE
CASP74 Apartments,CgsInL3F84_E9KOPARAB
Eric Vökel Gran Via Suites,CgkIhvy76OD7zlUQAQ
Mercedes Heritage Barcelona Apartments,CgsI6qq47-Ts1IySARAB
Aparthotel Mariano Cubí Barcelona,CgoIkO_7iarNgrMREAE
Hotel Best Front Maritim Barcelona,CgsI4PGNhITNic-SARAB
Hotel Ciutadella Barcelona,CgsI_YWRuu_h8f7qARAB
Hotel Gòtic,CgsIy_iV8aDa8pbgARAB
Ako Suite Hotel - WEB OFICIAL ®,CgsIme6Fwf2X2on7ARAB
Hotel Catalonia Barcelona 505,CgkI1sTCurGJtHIQAQ
Hotel Roger de Llúria,CgsI3ev67NuKkqvoARAB
Ayre Hotel Gran Via,CgoI2pXNlp6KsKIXEAE
Yurbban Passage Hotel & Spa,CgoIi7DcwOXxq5YfEAE
Hotel Catalonia Gracia,CgsI5Jvg5Ozn3oeGARAB
Hotel Zenit Borrell,CgoImbL8wvSA2uwnEAE
Villarroel Barcelona Apartment,CgsIo97ckILkvrqaARAB
Rambla Bacardi Apartments,CgsI7Mj6gMaShsjPARAB
Up Suites BCN - WEB OFICIAL®,CgoImPbjxrHDzv0uEAE
Catalonia Park Putxet,CgoI5Pyg-_DB9pt3EAE
Hilton Diagonal Mar Barcelona,CgsI7_yTpIbrv-7TARAB
Cosmo Apartments Consell de Cent Plaça Universitat,CgsIpbuqq5STrMmpARAB
Apartaments Sixtyfour,CgoI3p-XlrGDjKAsEAE
Cosmos apartment,CgsI3dTGlNPZgrPcARAB
BarcelonaForRent The Central Place,CgoI2dGA3aSZi5pUEAE
Rent Top Apartments - Rambla Catalunya,CgoIz8vQ_vGHwdVSEAE
Catalonia La Maquinista,CgoIhYSby5H8iuw8EAE
Hotel ILUNION Almirante (Barrio Gótico,CgsIkMm86aSq4JK9ARAB
