name,entity
Hilton Barcelona,CgsI7semh7nNrZKlARAB
Hotel SB Glow,CgsI7o-xsb3izM6CARAB
Hotel Duquesa de Cardona Barcelona,CgsI5fW-hdLRgdWoARAB
Seventy Barcelona,CgsI9Nyq-d2QwuKjARAB
Rafaelhoteles Badalona,CgoIyuzX_rWUq4B5EAE
Hotel Barcelona Princess,CgoIl63G7O7f-74LEAE
Hotel Marina Badalona,CgoI7vzhpMe-mZA7EAE
Hotel ILUNION Les Corts Spa (Barcelona),CgsIhtept_n5lsSxARAB
Renaissance Barcelona Fira Hotel,CgoIs52S8eisvbQ3EAE
Best Western Plus Hotel Alfa Aeroport,CgoI0eKGsMmkssYqEAE
Hotel Sansi Barcelona,CgoIq7Cd_aqvj8sgEAE
Hotel España,CgsIxuzD9LXeh-imARAB
Novotel Barcelona Sant Joan Despi,CgoIwd7E5KTjyKEHEAE
Hotel Colonial Barcelona,CgoI-cvLspPDi946EAE
Hotel 1898,CgsInb-W8vGlzs-3ARAB
Expo Hotel Barcelona,CgsIxbnh-NnO9oyEARAB
Hotel FrontAir Congress Barcelona,CgsIv4Lh0IbdoIj7ARAB
Hotel SB BCN Events,CgsInbfQiej9srflARAB
Hotel Barcelona Aeropuerto Affiliated By Meliá,CgoIyeGWz8_HqcQhEAE
Sercotel Ciutat de Montcada,CgoIofOv2I-xqugvEAE
Hotel Arrey Alella,CgoIi97hiZrmh9pUEAE
AC Hotel by Marriott Gava Mar Airport,CgsI8-3L5YjpyayDARAB
B&B Hotel Barcelona Sant Cugat,CgoIkYiQht6ckpBgEAE
Catalonia Rigoletto,CgoI7abB2KvXrY41EAE
Hotel HLG CityPark Sant Just,CgoI9-iw9KniyOZREAE
AC Hotel by Marriott Sant Cugat,CgsI_NGav6z75ZmEARAB
Hotel Exe Parc del Vallès,CgsI3obv69ymooTQARAB
Hotel Eurostars Executive,CgsI2-f39drriYnbARAB
Royal Passeig de Gràcia,CgoI343JqKPq091tEAE
Hotel Catalonia Barcelona Plaza,CgoI1bjYr9XTgIlMEAE
Balmoral Hotel,CgoI7-Xw9K2xj-90EAE
Meliá Barcelona Sky,CgsIz4fgsJ_iz_3LARAB
Radisson Blu 1882 Hotel,CgsIuMbFms7wj-CcARAB
Hotel SB Diagonal Zero Barcelona,CgsIg4Lbvvq9iJiRARAB
Hotel Barcelona Center,CgoIiI_l6vaCwc8fEAE
Grums Hotel & Spa,CgsIrPeP4O3MieqTARAB
Room Mate Carla Hotel,CgoIp6y-27jd-PN1EAE
Hotel SB Icària,CgsI24etyavu3f3gARAB
Hotel Condes de Barcelona,CgoIn93M3YnOrKpaEAE
Acta City47,CgoI0_myzN-lt70IEAE
AC Hotel by Marriott Barcelona Forum,CgsIjKCeh5P8qdHJARAB
Soho House Barcelona,CgsIjaeuyIab6O6HARAB
U232 Hotel,CgoIhZCAlK7owL10EAE
Hotel Indigo Barcelona - Plaza Catalunya,CgoI5OO8rOO67bVuEAE
Hotel Vincci Marítimo,CgsItvqT1e-3jd3rARAB
Hotel SB Plaça Europa,CgoIgIuk65jOkchlEAE
Hotel Rekord,CgsItK_o_PHrwrnOARAB
HOTEL REGINA BARCELONA,CgsIiM6A9MGN54bLARAB
Hotel Catalonia Eixample 1864,CgoI_9fWgLXH775_EAE
Gran Hotel Havana Barcelona,CgsIl7Wgre3ettO-ARAB
Hotel Barcelona Universal,CgsI1-SX6_zO9fqwARAB
H10 Casa Mimosa,CgsIo_SCmMfou_TKARAB
Negresco Princess,CgsIrM7f0t60ip70ARAB
El Avenida Palace,CgsIweCc-8nZmqnQARAB
H10 Casanova,CgsI1JCxspzDp-bNARAB
Best Western Premier Hotel Dante,CgoIldz1neTEkMMXEAE
Hotel Petit Palace Boqueria Garden,CgoIgsWsm4rhvPJUEAE
